,Weighted AUC_validation,Weighted AUC_crossValidation,Weighted AUC_holdout,Weighted AUC_training,Weighted AUC_backtesting,Weighted Area Under PR Curve_validation,Weighted Area Under PR Curve_crossValidation,Weighted Area Under PR Curve_holdout,Weighted Area Under PR Curve_training,Weighted Area Under PR Curve_backtesting,Weighted FVE Binomial_validation,Weighted FVE Binomial_crossValidation,Weighted FVE Binomial_holdout,Weighted FVE Binomial_training,Weighted FVE Binomial_backtesting,Weighted Gini Norm_validation,Weighted Gini Norm_crossValidation,Weighted Gini Norm_holdout,Weighted Gini Norm_training,Weighted Gini Norm_backtesting,Weighted Kolmogorov-Smirnov_validation,Weighted Kolmogorov-Smirnov_crossValidation,Weighted Kolmogorov-Smirnov_holdout,Weighted Kolmogorov-Smirnov_training,Weighted Kolmogorov-Smirnov_backtesting,Weighted LogLoss_validation,Weighted LogLoss_crossValidation,Weighted LogLoss_holdout,Weighted LogLoss_training,Weighted LogLoss_backtesting,Weighted Max MCC_validation,Weighted Max MCC_crossValidation,Weighted Max MCC_holdout,Weighted Max MCC_training,Weighted Max MCC_backtesting,Weighted RMSE_validation,Weighted RMSE_crossValidation,Weighted RMSE_holdout,Weighted RMSE_training,Weighted RMSE_backtesting,Weighted Rate@Top10%_validation,Weighted Rate@Top10%_crossValidation,Weighted Rate@Top10%_holdout,Weighted Rate@Top10%_training,Weighted Rate@Top10%_backtesting,Weighted Rate@Top5%_validation,Weighted Rate@Top5%_crossValidation,Weighted Rate@Top5%_holdout,Weighted Rate@Top5%_training,Weighted Rate@Top5%_backtesting,n_features,blueprint_id,duplicate
67a6d95a0215d41d200165b3,0.62271,,0.57678,,,0.08751,,0.0771,,,0.00778,,0.00686,,,0.24542,,0.15356,,,0.21095,,0.11848,,,0.23188,,0.22854,,,0.11178,,0.05928,,,0.24167,,0.23926,,,0.08436,,0.08318,,,0.07783,,0.0924,,,5,11a6aad216b73b904badca3f07ca63e4,False
67a6d9868114aa943a016472,0.62271,,0.57678,,,0.08751,,0.0771,,,0.00778,,0.00686,,,0.24542,,0.15356,,,0.21095,,0.11848,,,0.23188,,0.22854,,,0.11178,,0.05928,,,0.24167,,0.23926,,,0.08436,,0.08318,,,0.07783,,0.0924,,,5,11a6aad216b73b904badca3f07ca63e4,True
67a6d8700215d41d200163ce,0.63002,,0.58935,,,0.09499,,0.08311,,,-0.01403,,-0.03696,,,0.26004,,0.1787,,,0.23335,,0.13375,,,0.23698,,0.23863,,,0.12347,,0.06606,,,0.2414,,0.24023,,,0.09856,,0.10075,,,0.09956,,0.10863,,,8,926c474ac901dce9220cac2f13ca9b77,False
67a6d8f05b40f8417ba7c624,0.62955,,0.58729,,,0.0924,,0.0784,,,-0.00969,,-0.03346,,,0.2591,,0.17458,,,0.24402,,0.13692,,,0.23596,,0.23782,,,0.12535,,0.06785,,,0.24126,,0.24066,,,0.08863,,0.07906,,,0.08666,,0.06877,,,8,926c474ac901dce9220cac2f13ca9b77,False
67a6d8b85b40f8417ba7c5cd,0.62955,,0.58729,,,0.0924,,0.0784,,,-0.00969,,-0.03346,,,0.2591,,0.17458,,,0.24402,,0.13692,,,0.23596,,0.23782,,,0.12535,,0.06785,,,0.24126,,0.24066,,,0.08863,,0.07906,,,0.08666,,0.06877,,,8,926c474ac901dce9220cac2f13ca9b77,True
67a6d87d0b693f7c16a7cd2f,0.63427,,0.59496,,,0.09447,,0.08298,,,-0.00167,,-0.02158,,,0.26854,,0.18992,,,0.23452,,0.14395,,,0.23409,,0.23509,,,0.12269,,0.07136,,,0.2414,,0.23992,,,0.09825,,0.1002,,,0.09788,,0.10364,,,8,19d55d4b32d3fd6802a96a8589ef1d8f,False
67a6d8790215d41d200163f5,0.63599,,0.59745,,,0.0956,,0.0817,,,0.00999,,0.01071,,,0.27198,,0.1949,,,0.24582,,0.15844,,,0.23136,,0.22766,,,0.12425,,0.07618,,,0.24146,,0.23902,,,0.08728,,0.08247,,,0.09714,,0.09747,,,8,11a6aad216b73b904badca3f07ca63e4,False
67a6d9d97d6848675301644e,0.63819,,0.59809,,,0.09652,,0.08423,,,0.0011,,-0.01943,,,0.27638,,0.19618,,,0.24305,,0.14337,,,0.23344,,0.23459,,,0.13189,,0.07167,,,0.24129,,0.23982,,,0.09569,,0.09443,,,0.09951,,0.10503,,,8,19d55d4b32d3fd6802a96a8589ef1d8f,False
67a6d8755b40f8417ba7c578,0.6288,,0.59874,,,0.0927,,0.0826,,,-0.01619,,-0.02274,,,0.2576,,0.19748,,,0.23179,,0.15491,,,0.23748,,0.23536,,,0.1205,,0.07604,,,0.24178,,0.23995,,,0.09482,,0.09836,,,0.09493,,0.1017,,,8,ea8593ccd1dd00357e8c1c9432161bd3,False
67a6d9330215d41d20016561,0.64541,,0.60507,,,0.1027,,0.08511,,,-0.02359,,-0.02812,,,0.29082,,0.21014,,,0.24343,,0.16958,,,0.23921,,0.23659,,,0.13182,,0.08391,,,0.24166,,0.24013,,,0.11644,,0.09911,,,0.1154,,0.10294,,,11,ea8593ccd1dd00357e8c1c9432161bd3,False
67a6d9585b40f8417ba7c700,0.68769,,0.61599,,,0.15625,,0.09052,,,0.03807,,-0.00407,,,0.37538,,0.23198,,,0.25638,,0.16059,,,0.2248,,0.23106,,,0.20882,,0.08067,,,0.23963,,0.23969,,,0.20324,,0.10958,,,0.25815,,0.12585,,,25,11a6aad216b73b904badca3f07ca63e4,False
67a6d9855b40f8417ba7c761,0.68769,,0.61599,,,0.15625,,0.09052,,,0.03807,,-0.00407,,,0.37538,,0.23198,,,0.25638,,0.16059,,,0.2248,,0.23106,,,0.20882,,0.08067,,,0.23963,,0.23969,,,0.20324,,0.10958,,,0.25815,,0.12585,,,25,11a6aad216b73b904badca3f07ca63e4,True
67a6d8b67d6848675301633f,0.67898,,0.61656,,,0.16635,,0.09478,,,-0.00821,,-0.14899,,,0.35796,,0.23312,,,0.27703,,0.17129,,,0.23562,,0.26441,,,0.20552,,0.08477,,,0.23813,,0.24232,,,0.2051,,0.1162,,,0.27829,,0.13789,,,46,926c474ac901dce9220cac2f13ca9b77,False
67a6d8ee7d68486753016376,0.67898,,0.61656,,,0.16635,,0.09478,,,-0.00821,,-0.14899,,,0.35796,,0.23312,,,0.27703,,0.17129,,,0.23562,,0.26441,,,0.20552,,0.08477,,,0.23813,,0.24232,,,0.2051,,0.1162,,,0.27829,,0.13789,,,46,926c474ac901dce9220cac2f13ca9b77,True
67a6d9320215d41d20016553,0.68987,,0.62451,,,0.16072,,0.09416,,,0.00346,,-0.03568,,,0.37974,,0.24902,,,0.28553,,0.18271,,,0.23289,,0.23833,,,0.19855,,0.08878,,,0.23804,,0.24015,,,0.20469,,0.10984,,,0.24851,,0.12491,,,91,ea8593ccd1dd00357e8c1c9432161bd3,False
67a6d8730215d41d200163db,0.68999,,0.62673,,,0.15434,,0.09581,,,0.00747,,-0.02277,,,0.37998,,0.25346,,,0.28724,,0.18764,,,0.23195,,0.23536,,,0.19291,,0.09048,,,0.23839,,0.23976,,,0.20088,,0.11472,,,0.23148,,0.12677,,,92,ea8593ccd1dd00357e8c1c9432161bd3,False
67a6d9d75b40f8417ba7c7d2,0.69352,,0.61699,,,0.15452,,0.08832,,,0.02798,,0.00443,,,0.38704,,0.23398,,,0.28901,,0.17992,,,0.22716,,0.2291,,,0.19031,,0.08674,,,0.238,,0.23914,,,0.19915,,0.09635,,,0.23613,,0.11054,,,92,19d55d4b32d3fd6802a96a8589ef1d8f,False
67a6d87c0215d41d20016407,0.69924,,0.62787,,,0.15559,,0.09346,,,0.02904,,0.00195,,,0.39848,,0.25574,,,0.29245,,0.18024,,,0.22691,,0.22967,,,0.19422,,0.08794,,,0.23799,,0.23905,,,0.20302,,0.10804,,,0.23565,,0.125,,,92,19d55d4b32d3fd6802a96a8589ef1d8f,False
67a6d8770215d41d200163e8,0.68233,,0.61967,,,0.14111,,0.09601,,,0.03787,,-0.00273,,,0.36466,,0.23934,,,0.27675,,0.17504,,,0.22485,,0.23075,,,0.19734,,0.09124,,,0.23924,,0.23923,,,0.18875,,0.11793,,,0.15437,,0.13756,,,92,11a6aad216b73b904badca3f07ca63e4,False
67a6d86e0b693f7c16a7cd1a,0.68075,,0.61817,,,0.16278,,0.09545,,,0.0034,,-0.12971,,,0.3615,,0.23634,,,0.27992,,0.17489,,,0.23291,,0.25997,,,0.20523,,0.08804,,,0.23817,,0.24203,,,0.20719,,0.11641,,,0.27685,,0.13861,,,92,926c474ac901dce9220cac2f13ca9b77,False
